personname,personcode
王文林,20503328
赵春园,20503365
周岳军,20503351
王良凤,20503368
王金辉,20503374
沈表,20503383
王玉文,20503387
陈宝根,20472268
王清,20704989
王宁,20728602
陈肖君,20728600
李钊,20728605
陈平,20728604
夏朝阳,20728603
方福前,20145729
陈波涌,20707350
康如喜,20707352
高香林,20070968
周润书,20320279
孟繁龙,20707353
孟少锋,20707354
傅天年,20707355
洪伟,20367452
顾萍,20367427
王蓓,20584188
徐英,20367448
徐瑞鹏,20367425
周水霞,20735771
石尚洁,20470535
王晓莹,20703012
王建敏,20703010
曹柏根,20702996
方中青,20703017
蒋灿明,20017889
张磊,20054378
陈英革,20523958
赵宏伟,20523955
于冰,20176389
董礼,20004514
张发文,20004512
郭元先,20004516
李东明,20004517
梅月欣,20004522
马兴文,20004518
王方华,20004568
何万英,20031420
贺云,20029315
周复申,20009320
罗力,20031419
李富川,20004526
王苏生,20013227
桂强芳,20038548
廖耀雄,20038549
刘佳胜,20017890
李红光,20004565
陶伟平,20155259
房向东,20009466
丁古华,20155266
周俊祥,20053374
陈江涛,20155264
钟务盘,20155261
程汉涛,20123690
王九珍,20345317
徐士方,20345307
徐选国,20438898
俞云峰,20467069
徐伟民,20467058
肖卓玲,20282693
刘榕,20282692
刘武克,20282690
潘腾,20318890
张婷,20282694
杨兰英,20282687
刘素娟,20282695
吴飞,20282689
杨保奇,20282696
杨雪峰,20282685
利旭熙,20318889
戎一昊,20595420
王春和,20038608
温国明,20469264
张燕红,20469268
温丽蓉,20469267
徐国兴,20469304
温家倩,20469314
苏淑娜,20581392
王爱明,20035010
潘利群,20067174
王明,20039113
杨文侃,20022654
梁积江,20011777
阮庆革,20034189
潘文,20040275
杨昕,20181238
郭士友,20052177
裴艳,20398837
王德勇,20042124
孙茂竹,20021126
白涛,20509721
李岩,20509697
潘刚升,20011770
范永宁,20011775
宋常,20011776
辛伟民,20011773
巴峥嵘,20011772
胡瑞深,20011774
刘洪玉,20008106
刘晓薇,20011780
杨成森,20034187
任景全,20039114
李波,20040278
刘云波,20042123
李挺伟,20068057
上官清,20509698
陈刚,20702654
张国宏,20705012
王立川,20727191
杨庆来,20312384
杨栋江,20312397
韩亮,20312399
韩宝杰,20312403
尹占品,20312401
李居兴,20159541
李水荣,20159535
李永庆,20159536
李国庆,20159537
倪信才,20159538
刘小忠,20704915
刘云,20704918
卢鹏,20315416
邬逵清,20704919
夏泽民,20704920
夏继发,20704921
王宏霞,20423331
CHUI LAP LAM,20703590
梁金成,20423333
武海亮,20423332
张全红,20423334
鲍志超,20423338
竺琳,20703587
陈爱华,20743743
王忠,20703589
胡天高,20168950
厉宝平,20168951
黄桂苗,20168955
任立荣,20168952
包小平,20168954
李林,20019500
郑建国,20174561
张广生,20029219
陈小敏,20174565
朱继根,20155050
赵柏礼,20174564
黄克铨,20174566
谭晋生,20169307
薛维柱,20169305
黄贵荣,20169309
王鹏,20169310
吕榕山,20724596
吴静敏,20724595
林小敏,20724594
袁俊,20582131
陈亮辉,20724592
唐礼智,20527599
邵增明,20477976
王晓君,20477983
张存升,20477979
陈传勋,20477981
林忠群,20528078
罗阳勇,20528066
曾成华,20528083
吴亚梅,20528071
严明晴,20528073
陈学渊,20528082
尹莹莹,20528081
王付涛,20528075
廖中新,20233805
刘永辉,20063319
张浩云,20018950
李继富,20024339
杨帅,20166849
苏国建,20421536
高春山,20421533
吴溪,20058724
范飞,20058727
刘建斌,20058717
袁玉兰,20058719
黄祁,20058718
何绪文,20058722
杨学志,20055876
郝芳华,20058721
戴永久,20166851
石晶波,20058728
李群生,20421540
马骥驰,20421537
张卉,20578007
张亚兵,20582176
彭吉强,20406785
彭小琴,20406786
刘小明,20406783
